klip,kamera,tur,ciddiyet,skor,video_pts,ts,dogru,not
risk\cam-16_02175.94_000.mp4,cam-16,risk,warning,0.395,2175.94,2026-09-10 08:30:54.627251+00:00,1,UR Fall: adam yere dusuyor
running\cam-17_02157.89_001.mp4,cam-17,running,attention,0.721,2157.89,2026-09-10 08:30:37.077599+00:00,,motosikletli/yaya ayrimi duragan kareden yapilamadi | sahne kesikli derleme; 150 karenin 6'sindan motosikletli/yaya ayrimi yapilamadi
crowd\cam-17_02155.65_002.mp4,cam-17,crowd,attention,0.5,2155.65,2026-09-10 08:30:34.837717+00:00,1,sokak sahnesi ~6 kisi
fall\cam-15_02139.08_003.mp4,cam-15,fall,warning,1.0,2139.08,2026-09-10 08:30:17.872091+00:00,1,magazada yerde bir kisi
fall\cam-16_02131.46_004.mp4,cam-16,fall,warning,0.932,2131.46,2026-09-10 08:30:10.154208+00:00,1,UR Fall: adam yere dusuyor
risk\cam-15_02116.60_005.mp4,cam-15,risk,warning,0.396,2116.6,2026-09-10 08:29:55.396951+00:00,1,acik bogusma
risk\cam-15_02113.08_006.mp4,cam-15,risk,warning,0.35,2113.08,2026-09-10 08:29:51.869733+00:00,1,acik bogusma
crowd\cam-04_02077.93_007.mp4,cam-04,crowd,attention,0.616,2077.93,2026-09-10 08:29:16.635792+00:00,1,otopark ~5-6 kisi
crowd\cam-17_02075.41_008.mp4,cam-17,crowd,attention,0.678,2075.41,2026-09-10 08:29:14.601917+00:00,1,havaalani sahnesi 8+ kisi
fall\cam-19_02069.14_009.mp4,cam-19,fall,warning,1.0,2069.14,2026-09-10 08:29:08.211516+00:00,0,kisi EGILIP canta aliyor - dusme degil
fall\cam-16_02067.70_010.mp4,cam-16,fall,warning,1.0,2067.7,2026-09-10 08:29:06.395552+00:00,1,UR Fall (ayni sahne)
crowd\cam-05_02037.73_011.mp4,cam-05,crowd,attention,0.523,2037.73,2026-09-10 08:28:36.435283+00:00,1,otopark ~5-6 kisi
crowd\cam-13_02029.89_012.mp4,cam-13,crowd,attention,0.535,2029.89,2026-09-10 08:28:28.605296+00:00,1,kampus ~6 kisi
fall\cam-16_02001.94_013.mp4,cam-16,fall,warning,1.0,2001.94,2026-09-10 08:28:00.638854+00:00,1,UR Fall (ayni sahne)
crowd\cam-17_02000.41_014.mp4,cam-17,crowd,attention,0.704,2000.41,2026-09-10 08:27:59.604937+00:00,1,"ofis + sokak, 6+ kisi"
risk\cam-15_01993.84_015.mp4,cam-15,risk,warning,0.388,1993.84,2026-09-10 08:27:52.635454+00:00,1,acik bogusma
fall\cam-16_01932.70_016.mp4,cam-16,fall,warning,1.0,1932.7,2026-09-10 08:26:51.441650+00:00,1,UR Fall (ayni sahne)
crowd\cam-17_01929.17_017.mp4,cam-17,crowd,attention,0.834,1929.17,2026-09-10 08:26:48.368569+00:00,1,gece sokak ~5-8 kisi
crowd\cam-13_01916.38_018.mp4,cam-13,crowd,attention,0.525,1916.38,2026-09-10 08:26:35.092726+00:00,1,kampus ~6 kisi
